track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
7758881,7758881,8092624.0,GalaxyProperties_SFR_GE_0_z0.0.txt
13282215,13282215,1961198.375,GalaxyProperties_SFR_GE_0_z0.0.txt
731327,731327,71756504.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7387848,7387848,1289196.0,GalaxyProperties_SFR_GE_0_z0.0.txt
16321933,16321933,256468.984375,GalaxyProperties_SFR_GE_0_z0.0.txt
733552,733552,47812252.0,GalaxyProperties_SFR_GE_0_z0.0.txt
9756718,9756718,1130727.375,GalaxyProperties_SFR_GE_0_z0.0.txt
2795495,2795495,236809.34375,GalaxyProperties_SFR_GE_0_z0.0.txt
1468890,1468890,1227238.375,GalaxyProperties_SFR_GE_0_z0.0.txt
16357697,16357697,409873.78125,GalaxyProperties_SFR_GE_0_z0.0.txt
1472766,1472766,1730048.625,GalaxyProperties_SFR_GE_0_z0.0.txt
2809778,2809778,656512.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
4383120,4383120,3445799.25,GalaxyProperties_SFR_GE_0_z0.0.txt
26169940,26169940,492086.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
60869,60869,3298054.0,GalaxyProperties_SFR_GE_0_z0.0.txt
347374,347374,1196259.5,GalaxyProperties_SFR_GE_0_z0.0.txt
2783085,2783085,1842049.0,GalaxyProperties_SFR_GE_0_z0.0.txt
9727958,9727958,991322.625,GalaxyProperties_SFR_GE_0_z0.0.txt
26101772,26101772,2235241.75,GalaxyProperties_SFR_GE_0_z0.0.txt
2799028,2799028,231149.75,GalaxyProperties_SFR_GE_0_z0.0.txt
733485,733485,452767.53125,GalaxyProperties_SFR_GE_0_z0.0.txt
9763151,9763151,171872.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
62188,62188,770896.3125,GalaxyProperties_SFR_GE_0_z0.0.txt
158660,158660,82356032.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2805781,2805781,289830.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
32505842,32505842,213873.09375,GalaxyProperties_SFR_GE_0_z0.0.txt
16372540,16372540,776853.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
352434,352434,1267749.125,GalaxyProperties_SFR_GE_0_z0.0.txt
76292,76292,556427.5,GalaxyProperties_SFR_GE_0_z0.0.txt
159573,159573,85863792.0,GalaxyProperties_SFR_GE_0_z0.0.txt
5866580,5866580,85042.8515625,GalaxyProperties_SFR_GE_0_z0.0.txt
2781634,2781634,660087.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
5526667,5526667,395575.84375,GalaxyProperties_SFR_GE_0_z0.0.txt
50596485,50596485,97553.53125,GalaxyProperties_SFR_GE_0_z0.0.txt
1468082,1468082,1192685.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1678114,1678114,6672364.0,GalaxyProperties_SFR_GE_0_z0.0.txt
3145819,3145819,270469.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
7865135,7865135,155192.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
1469536,1469536,1243919.25,GalaxyProperties_SFR_GE_0_z0.0.txt
4085123,4085123,307405.34375,GalaxyProperties_SFR_GE_0_z0.0.txt
739066,739066,20131474.0,GalaxyProperties_SFR_GE_0_z0.0.txt
9775765,9775765,554640.25,GalaxyProperties_SFR_GE_0_z0.0.txt
1474878,1474878,366980.0,GalaxyProperties_SFR_GE_0_z0.0.txt
738533,738533,416427.0,GalaxyProperties_SFR_GE_0_z0.0.txt
728611,728611,321703.25,GalaxyProperties_SFR_GE_0_z0.0.txt
6105,6105,165322112.0,GalaxyProperties_SFR_GE_0_z0.0.txt
731341,731341,45351.22265625,GalaxyProperties_SFR_GE_0_z0.0.txt
5531139,5531139,2578392.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1672105,1672105,2573626.0,GalaxyProperties_SFR_GE_0_z0.0.txt
61828,61828,15136734.0,GalaxyProperties_SFR_GE_0_z0.0.txt
350019,350019,287447.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
