#"log(Sigma_SFR[Msun/yr/kpc^2])(log(SigmaH2[Msun/kpc^2]))  created by Plot Digitizer  2.6.5"
#"Date: 12/9/24  10:08:27 am"
#
#
#90
#log(SigmaH2[Msun/kpc^2]) log(Sigma_SFR[Msun/yr/kpc^2])
7.01820 -2.20429 
7.06959 -2.22799 
7.13812 -2.18849 
7.22377 -2.09368 
7.28801 -1.96727 
7.39936 -1.88036 
7.45503 -1.81716 
7.48501 -1.78555 
7.53640 -1.69074 
7.58351 -1.65914 
7.63062 -1.59594 
7.67773 -1.51693 
7.69058 -1.43002 
7.65203 -1.38262 
7.59636 -1.42212 
7.48501 -1.46163 
7.40364 -1.47743 
7.36081 -1.50113 
7.30086 -1.59594 
7.21949 -1.63544 
7.12527 -1.71445 
7.06103 -1.85666 
7.06103 -1.97517 
7.01392 -2.04628 
7.01392 -2.18059 
######
6.94540 -2.22799 
6.96681 -2.28330 
7.00964 -2.33860 
7.07816 -2.37020 
7.16381 -2.25959 
7.25803 -2.14108 
7.36938 -1.99887 
7.44647 -1.94357 
7.51071 -1.88036 
7.55782 -1.78555 
7.64775 -1.69074 
7.71199 -1.62754 
7.81049 -1.46163 
7.86188 -1.35102 
7.83619 -1.27991 
7.78908 -1.23251 
7.70343 -1.23251 
7.59636 -1.30361 
7.54069 -1.31941 
7.43790 -1.39052 
7.30942 -1.45372 
7.21520 -1.53273 
7.13383 -1.58014 
7.04818 -1.65124 
7.02248 -1.76185 
7.00535 -1.83296 
7.00535 -1.92777 
6.97537 -2.01467 
6.94968 -2.19639 
#####
6.73555 -2.45711 
6.77409 -2.52822 
6.84690 -2.52032 
6.91970 -2.51242 
7.02677 -2.56772 
7.06531 -2.55192 
7.14668 -2.42551 
7.20236 -2.35440 
7.29229 -2.24379 
7.35653 -2.14108 
7.47216 -2.05418 
7.56210 -1.95147 
7.62206 -1.87246 
7.78051 -1.60384 
7.85760 -1.56433 
7.94754 -1.44582 
7.99893 -1.31941 
8.03747 -1.18510 
7.97752 -1.01919 
7.91756 -0.955982 
7.72484 -1.06659 
7.48929 -1.18510 
7.33084 -1.25621 
7.25803 -1.27991 
7.17666 -1.35102 
7.05246 -1.42212 
6.97966 -1.58014 
6.91970 -1.71445 
6.91542 -1.80926 
6.90685 -1.93567 
6.85974 -1.96727 
6.81692 -2.01467 
6.79550 -2.03047 
6.82976 -2.16479 
6.75696 -2.24379 
6.72698 -2.40181 
