#"log(Sigma_SFR)(log(Sigma_H2))  created by Plot Digitizer  2.6.5"
#"Date: 5/9/24  3:32:53 pm"
#log(Sigma_H2) log(Sigma_SFR)
1.04692 -2.43676  -2.68518 -2.18834
1.19469 -2.27574  -2.53881 -2.02735
1.30960 -2.13669  -2.39974 -1.88826
1.43275 -2.00494  -2.24607 -1.77112
1.54765 -1.86590  -2.08506 -1.63937
1.68725 -1.72682  -1.97528 -1.49301
1.80229 -1.64623  -1.83619 -1.41972
1.95013 -1.51444  -1.70444 -1.33178
2.05679 -1.36810  -1.65306 -1.11967
2.18009 -1.30211  -1.53594 -1.06100
2.27049 -1.24349  -1.39695 -1.06082
