HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
66897,0.6679699000879449,10.55533,0.8103735,9.33977,0.24946865636531415
765512,0.6583539923286436,10.253355,0.34338793,9.738274,0.225296488365099
775921,0.6014065745857468,10.218908,0.26043347,9.8282585,0.11314682340753995
9394,0.6300940129498068,9.560608,0.12490726,9.373247,0.024118655994309974
180003,0.6449354800259841,9.18191,-0.0360726,9.236018,0.0
809503,0.6315994382294959,10.617667,0.1915877,10.330286,0.10298518586573423
1639847,0.6303525706110041,9.672979,0.0838872,9.547149,0.010974109433240509
25311,0.6061328658656949,10.300813,0.3218228,9.818079,0.04649407373979853
83700,0.6566717963671045,9.919922,0.112939,9.750513,0.00037723848863860127
2860534,0.647990293420894,10.350454,0.26270133,9.956403,0.2881811439618938
13769,0.6254047189121353,10.327939,0.4333297,9.677944,0.2470889990862103
7765873,0.6141653144751581,10.093969,0.3537818,9.563296,0.026604173278233344
8002,0.6010852373195695,10.257123,0.3226117,9.773206,0.12519864840799366
1874277,0.6267316195050473,10.296551,0.28129783,9.874604,0.08446525993964532
17066,0.6137409075294514,10.896032,0.6164894,9.971298,0.5386319723018472
172779,0.603381470384433,10.074416,0.47688264,9.359093,0.04960628469384876
117,0.6275227129805966,9.600674,-0.043791573,9.666361,0.008873041444454843
137,0.7246507183723369,10.022101,0.6466662,9.052102,0.004882077941341979
552,0.6904961368601793,10.523001,0.3380962,10.015857,0.04145706052957419
553,0.7124777848063014,10.647685,0.58621126,9.768368,0.6524647899751719
2202,0.6428003357760255,10.250507,0.3660774,9.701391,0.8042438232163299
21185,0.6744277369607915,9.921449,0.3296481,9.426976,0.001106497870318259
71883,0.6492821745148009,10.452479,0.44951645,9.778205,0.08215608220668111
72033,0.6611736134081211,10.620113,0.20625767,10.310727,0.16353493400012892
74170,0.6329071544436423,10.616028,0.45883143,9.927781,0.5129623940353314
74285,0.6951509463023098,9.618892,-0.121874735,9.801703,0.012938487443761438
100031,0.6839624251195557,10.32953,0.3426359,9.815576,0.04044142656607836
222292,0.751421832197312,9.113334,-0.30126864,9.565237,0.0
389228,0.6204523621508219,10.4124,0.5784094,9.544786,0.1725981705295937
798108,0.638630359266431,10.15324,0.2341898,9.801955,0.028014680459889824
1930598,0.7659649151582323,9.147844,-0.3375529,9.654174,0.0007323434985003743
1977002,0.6153248005596197,10.142992,0.2418512,9.780215,0.030494854050033084
3028815,0.6531510103884934,10.63056,0.20211656,10.327385,0.27889786169978265
97114,0.6621051872474024,10.566515,0.37174526,10.008897,0.22419576246061004
1041141,0.6288302619508289,10.624162,0.6376024,9.667758,0.6266560656497691
9659,0.6204142004366383,10.127469,0.17363684,9.867014,0.008267232293953798
