track_id,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,DoR
145268,10.3775835,0.43576613,9.723934,0.15130231,7.9128,,0.1109451071785261
1743973,9.93936,0.33885613,9.431075,0.16418496,7.9128,,0.1160244725936388
262637,10.299963,0.59765744,9.403477,0.09579461,8.181537,,0.1732408479003764
19090,10.128732,0.37244856,9.570059,0.11102054,8.793658,,0.250375487936139
63005,9.133277,0.86611634,7.8341026,0.112533025,5.1806445,-10.579476973640254,0.400593510748179
285659,10.168459,0.34112793,9.656767,0.18056697,10.824113,,0.228336929547156
497849,10.341279,0.59849346,9.443539,0.09097486,3.0718086,-9.955910048774259,0.2752917661686547
305185,9.955154,0.4599819,9.265182,0.104773544,4.2475314,,0.0647432229163037
250105,10.018053,0.6436659,9.052554,0.10437781,2.1386955,-9.643785827721898,0.14262371713892
383944,10.666359,0.4429945,10.001867,0.07847098,7.9874487,-11.01613267011567,0.1039951007522423
101773,10.697393,0.5164633,9.922699,0.20989347,11.361587,,0.3545490693218309
4,11.219727,0.7920461,10.031657,0.2182262,10.376219,-11.81037269623573,0.540717871766383
598534,10.420846,0.40818262,9.808572,0.18569726,8.480133,-11.9816187774893,0.1055716507301568
245231,9.756638,0.33580843,9.252925,0.10928742,2.9784973,-9.753953908447105,0.3777844266459416
246561,10.342821,0.7523083,9.214358,0.100542076,3.4263916,-10.059993466117476,0.3692573413312904
66768,9.899038,0.42593727,9.260133,0.09382004,1.7785138,-9.765123073826286,0.3679226645421273
272,11.234204,0.7790163,10.06568,0.09106844,7.293213,-10.703164985840866,0.2675902794583418
307153,10.54288,0.4899451,9.807962,0.08933536,5.755442,-10.469642087377512,0.2148272206092859
320891,9.251339,0.40493432,8.643937,0.16414467,8.584641,,0.106903802628912
927779,9.4184265,0.56912637,8.564737,0.1388821,7.024476,,0.1208439211017457
25643,9.459304,0.518978,8.680837,0.08552352,5.718117,-10.247636106941318,0.3413803210878408
62902,10.721875,0.43210635,10.073715,0.20849046,9.689447,-12.989730730584613,0.2488401710411646
26978,10.839515,0.663527,9.844224,0.19705346,10.585237,,0.2430214796256561
30463,11.442555,1.09892,9.794175,0.15390468,9.211693,-11.606423613224301,0.2455886256838129
4198626,9.328934,0.6322264,8.380594,0.12271003,2.2991908,-9.69193593837316,0.2295880620551999
490163,9.611696,0.33504316,9.109132,0.18621945,10.346359,,0.1426867438049432
1463,10.798907,0.54571974,9.980328,0.281967,10.9136915,-11.643046818254886,0.4127173720784348
65539,10.129991,0.49048096,9.394269,0.1036725,2.8217344,-9.903258355266399,0.4332611256870231
161545,9.625468,0.5385883,8.817586,0.1060318,2.6537738,-9.555050770103263,0.3481190899584137
161496,9.126203,0.3380962,8.619059,0.09622773,4.3072505,-9.870825693859688,0.1176801750568947
2167,10.915412,0.76671886,9.765333,0.27267534,11.913989,,0.4120222680308065
75530,10.57562,0.34787294,10.05381,0.15788129,10.988341,,0.1319319576883531
38433,10.128732,0.59176004,9.241092,0.08501849,4.896978,-10.205669634078667,0.2526233405422032
140584,10.217883,0.21442327,9.896248,0.13935572,7.2484236,,0.2672164722494536
60260,10.486412,0.49949044,9.737177,0.08830423,5.3523374,-10.873072989843946,0.2213641824293268
66221,10.212719,0.47632974,9.498224,0.08423964,4.023584,-10.220069812784665,0.3477013169682236
476179,9.581103,0.43758455,8.9247265,0.11030536,6.083898,-10.636096203585762,0.1791142786222166
62914,10.31827,0.41011998,9.70309,0.09002226,5.2328987,-11.195078116675111,0.5142278052146914
4508,9.5964,0.42841542,8.953777,0.088493444,3.2733612,-9.81309225837837,0.1675172089271153
171805,11.155972,0.76841646,10.003346,0.17654347,9.390851,-12.18278831071433,0.3769859710210947
752025,9.701289,0.4553617,9.018247,0.14701948,1.8139721,-9.816257027782083,0.2383445107213249
1930719,9.5433655,0.3646488,8.996392,0.10006542,2.1722875,-9.707233050553278,0.2212939973073763
112637,9.468048,0.2941098,9.026883,0.20327675,9.450571,,0.7083097246610744
8885,10.704147,0.6555448,9.72083,0.15258339,10.22692,,0.2372989838008888
1049,10.383233,0.6299019,9.43838,0.2552744,10.495657,,0.1032245224918371
