halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
16608,16608,10.194145,0.57401365,9.333125,,0
866339,866339,10.461361,0.6084017,9.5487585,,0
2490535,2490535,9.095842,0.6164894,8.171108,,0
4582957,4582957,10.05989,0.4785371,9.342084,,0
16670,16670,10.044861,0.5866406,9.1649,,0
178140,178140,10.24039,0.552736,9.411285,,0
263832,263832,10.75945,0.62206244,9.826356,,0
782442,782442,9.806386,0.1931834,9.516611,,0
2013298,2013298,10.414364,0.5993278,9.515372,,0
1093031,1093031,10.537503,0.27737933,10.121434,,0
1093354,1093354,9.568121,0.5904859,8.682392,,0
1500194,1500194,9.619401,0.46170187,8.926848,,0
2025584,2025584,10.637648,0.50418556,9.88137,,0
388084,388084,10.293542,0.44774744,9.621921,,0
5646750,5646750,10.235488,0.4807333,9.514388,,0
559604,559604,9.774099,0.6108439,8.857834,,0
43728,43728,9.655063,0.4271781,9.014296,,0
119498,119498,10.714086,0.44537747,10.04602,,0
1507556,1507556,9.083341,0.40493432,8.475939,,0
2029839,2029839,9.814259,0.67975765,8.794622,,0
2919338,2919338,9.660655,0.75054646,8.534836,,0
4407799,4407799,9.473782,0.53954595,8.664463,,0
8006639,8006639,9.613248,0.4302648,8.967851,,0
2040466,2040466,9.32943,0.438189,8.672146,,0
120536,120536,10.578315,0.4333297,9.92832,,0
3872082,3872082,9.720264,0.4599819,9.030292,,0
25730,25730,10.882466,0.7706696,9.726461,,0
26061,26061,9.954213,0.47632974,9.239718,,0
60684,60684,11.199211,0.79151094,10.011945,,0
145268,145268,10.3775835,0.43576613,9.723934,0.6404205273018974,1
181141,181141,10.69603,0.68183064,9.673284,,0
217922,217922,10.313353,0.4741111,9.602186,,0
318967,318967,9.771237,0.518978,8.99277,,0
390725,390725,9.726675,0.31385386,9.255895,,0
466076,466076,9.057203,0.65773636,8.070599,,0
564357,564357,10.608576,0.38011074,10.03841,,0
661482,661482,10.158568,0.21994935,9.828645,,0
796260,796260,10.569723,0.7312948,9.472781,,0
796419,796419,9.775523,0.6009918,8.874036,,0
925630,925630,10.2543,0.7312948,9.157358,,0
925898,925898,9.88985,0.30573598,9.431246,,0
926256,926256,10.026909,0.6671074,9.026248,,0
927862,927862,9.310666,0.4483379,8.638159,,0
1277938,1277938,9.934951,0.60430074,9.0285,,0
1288261,1288261,10.418265,0.5357026,9.614712,,0
1508367,1508367,9.218652,0.43210635,8.570492,,0
1744699,1744699,10.371139,0.46455345,9.674309,,0
1744748,1744748,9.150101,0.4735547,8.439769,,0
2704192,2704192,9.2269,0.5390674,8.418299,,0
4119668,4119668,9.529185,0.605124,8.621499,,0
8016937,8016937,9.155319,0.40623656,8.545964,,0
2053971,2053971,9.370597,0.3380962,8.863453,,0
44562,44562,10.63056,0.34861597,10.1076355,,0
78310,78310,9.801726,0.5591837,8.962951,,0
269924,269924,9.639303,0.38080063,9.068102,,0
1107382,1107382,9.70632,0.5541257,8.875132,,0
3143116,3143116,9.5888195,0.5792832,8.719894,,0
3378613,3378613,9.288335,0.509856,8.523551,,0
3873989,3873989,9.378204,0.36536366,8.830159,,0
7177939,7177939,9.445088,0.6540776,8.463972,,0
394302,394302,9.859301,0.5471321,9.038603,,0
2050181,2050181,9.211548,0.3448881,8.694216,,0
567588,567588,9.467326,0.4920845,8.729199,,0
800011,800011,9.074951,0.6811407,8.05324,,0
1110331,1110331,9.772671,0.69740325,8.726566,,0
1110418,1110418,9.322425,0.44951645,8.64815,,0
1527091,1527091,9.261904,0.52097934,8.480434,,0
1527264,1527264,9.843788,0.45710003,9.158138,,0
2323467,2323467,9.932482,0.51696736,9.157031,,0
2526153,2526153,9.072268,0.4459712,8.403311,,0
3883782,3883782,9.1042595,0.4845501,8.377435,,0
7592144,7592144,9.142534,0.50053823,8.3917265,,0
938737,938737,9.434307,0.5154533,8.661127,,0
1758367,1758367,9.573813,0.3226117,9.089896,,0
272156,272156,10.314998,0.6713652,9.30795,,0
1110643,1110643,10.22602,0.55964065,9.386559,,0
45322,45322,10.978219,0.7124368,9.909564,,0
57531,57531,9.88711,0.4790872,9.168479,,0
122244,122244,9.385245,0.64890295,8.411891,,0
398153,398153,9.080269,0.48887146,8.346962,,0
447077,447077,9.421649,0.5883538,8.539118,,0
638003,638003,9.353094,0.49949044,8.603859,,0
2940829,2940829,9.108408,0.6092173,8.194582,,0
42172,42172,10.40712,0.52147824,9.624903,,0
75960,75960,10.276836,0.54994303,9.451921,,0
177363,177363,10.599717,0.649646,9.625248,,0
777621,777621,10.777368,0.6092173,9.863542,,0
778810,778810,10.313353,0.56643724,9.4636965,,0
778975,778975,9.695346,0.5870696,8.814741,,0
1081322,1081322,10.838532,0.5466618,10.018539,,0
1084495,1084495,10.195768,0.3508374,9.669512,,0
1084496,1084496,9.573248,0.40100402,8.971742,,0
4377075,4377075,9.631452,0.3610566,9.089867,,0
7120592,7120592,9.1042595,0.49315026,8.364534,,0
384311,384311,9.373746,0.65773636,8.387141,,0
1492288,1492288,9.638817,0.5904859,8.753088,,0
1266685,1266685,10.216855,0.5357026,9.413301,,0
783884,783884,9.428815,0.3675013,8.8775625,,0
6397,6397,11.071548,0.6009918,10.170061,,0
388476,388476,9.490541,0.26134202,9.098529,,0
389297,389297,10.27504,0.54571974,9.45646,,0
15842907,15842907,9.300706,0.44951645,8.626431,,0
1098706,1098706,10.193059,0.6466662,9.22306,,0
4694874,4694874,9.294295,0.41715068,8.66857,,0
268361,268361,9.236841,0.50106114,8.4852495,,0
925757,925757,10.271424,0.571799,9.413726,,0
2310847,2310847,9.296978,0.52147824,8.514761,,0
6006538,6006538,9.268235,0.85003805,7.9931784,,0
3526,3526,10.534542,0.45361638,9.854117,,0
60296,60296,10.643851,0.54947585,9.819637,,0
77795,77795,10.466024,0.41715068,9.840299,,0
95716,95716,10.429762,0.48563448,9.70131,,0
145340,145340,9.816205,0.4177842,9.189528,,0
181209,181209,9.859886,0.5409785,9.048418,,0
216566,216566,9.06685,0.7244749,7.9801373,,0
219082,219082,9.739219,0.39236438,9.150672,,0
318794,318794,10.098047,0.32731527,9.607075,,0
322081,322081,10.101417,0.512918,9.33204,,0
390985,390985,9.68932,0.3842338,9.112968,,0
391860,391860,9.120619,0.6548118,8.138401,,0
462770,462770,10.589802,0.28302807,10.165259,,0
462807,462807,9.355905,0.48291844,8.631527,,0
466232,466232,9.014276,0.41651618,8.389502,,0
466255,466255,9.338273,0.4003455,8.737755,,0
658031,658031,9.863384,0.57577723,8.999719,,0
658475,658475,9.0065155,0.5587263,8.1684265,,0
790766,790766,9.101751,0.5088305,8.338506,,0
927976,927976,9.470207,0.4429945,8.805716,,0
1103727,1103727,9.221207,0.5853513,8.34318,,0
1278260,1278260,9.186762,0.5659874,8.337781,,0
1278377,1278377,9.36055,0.5531997,8.53075,,0
1279211,1279211,10.615207,0.5428812,9.800885,,0
1510676,1510676,9.321415,0.37941974,8.752285,,0
1751101,1751101,10.340506,0.5792832,9.4715805,,0
1751954,1751954,9.45709,0.7053118,8.399122,,0
2048795,2048795,9.100072,0.53231156,8.301604,,0
2310010,2310010,9.700445,0.54382944,8.884701,,0
2511541,2511541,10.37616,0.4363731,9.7216,,0
2710323,2710323,9.133277,0.6960711,8.08917,,0
2924312,2924312,10.489719,0.40947515,9.875506,,0
3142189,3142189,9.96903,0.54619104,9.149744,,0
3605455,3605455,9.64414,0.59765744,8.747654,,0
4119003,4119003,10.094651,0.5239642,9.308704,,0
4119702,4119702,9.611696,0.42219332,8.978406,,0
4131712,4131712,9.5899105,0.6845794,8.563042,,0
5009364,5009364,9.25841,0.59429735,8.366964,,0
5017848,5017848,9.800386,0.51087904,9.034068,,0
5318126,5318126,9.214791,0.47577617,8.501127,,0
6020409,6020409,10.189238,0.5390674,9.380636,,0
796189,796189,9.960294,0.7162745,8.885882,,0
796430,796430,9.651295,0.5659874,8.802314,,0
930355,930355,9.431962,0.5476018,8.610559,,0
9488662,9488662,9.3209095,0.5792832,8.451984,,0
6779666,6779666,9.350738,0.46398464,8.65476,,0
396885,396885,9.519682,0.44537747,8.851616,,0
396923,396923,10.366059,0.6283453,9.423541,,0
570569,570569,10.125568,0.50418556,9.36929,,0
805102,805102,9.807708,0.6548118,8.82549,,0
1534361,1534361,10.511666,0.5968199,9.616436,,0
2526170,2526170,9.583322,0.438189,8.926038,,0
2943833,2943833,9.566974,0.63530654,8.614014,,0
3392849,3392849,9.582213,0.31465736,9.110228,,0
3887918,3887918,9.688886,0.3957077,9.0953245,,0
5037958,5037958,9.248359,0.42093813,8.616952,,0
5706756,5706756,9.064572,0.63453853,8.112764,,0
5706769,5706769,9.106753,0.58878106,8.223581,,0
17999,17999,9.317862,0.33885613,8.809577,,0
272166,272166,10.340506,0.4547807,9.658335,,0
272180,272180,11.0387,0.691376,10.0016365,,0
272308,272308,10.568809,0.49261773,9.829882,,0
398102,398102,10.48308,0.5677839,9.631404,,0
569104,569104,9.781173,0.5722428,8.922809,,0
569287,569287,9.050652,0.86656713,7.750801,,0
