subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
7758881,0.0793381338266464,10.490816,0.6811407,9.469105,0.094524466,3.2211068,-10.069108,
13282215,0.101294843275539,9.958432,0.5239642,9.172485,0.06954523,3.437589,-9.898998,
731327,0.2554008334674056,10.679324,0.5513418,9.852311,0.14951152,7.7187123,-10.831226,
7387848,0.0715702609762769,9.957498,0.63683844,9.00224,0.08899986,2.6612387,-9.75652,
16321933,0.0648596319990614,9.417617,0.7523083,8.289154,0.13292608,2.4858136,-9.778706,
733552,0.4996361609244573,10.385333,0.518978,9.606866,0.15300465,10.839043,,
9756718,0.0613019008972988,9.765456,0.56912637,8.911767,0.11180682,2.134963,-9.719281,
2795495,0.0647553824097669,9.13561,0.63988614,8.17578,0.14131442,2.3365154,-9.7705765,
1468890,0.1224956521556238,9.805059,0.24984601,9.43029,0.068361215,3.6951282,-10.0619135,
16357697,0.0617453330795967,9.412727,0.5021051,8.65957,0.124783196,2.3103883,-9.844922,
1472766,0.1059139318047209,9.851614,0.32103243,9.370066,0.067136414,3.1352603,-9.973868,
2809778,0.0818189003471951,9.777651,0.43697926,9.122182,0.08813187,2.3701074,-9.788969,
4383120,0.0628695101979563,10.011498,0.49315026,9.271773,0.1184795,2.6649714,-10.077971,
26169940,0.0735157013130825,9.151598,0.6322264,8.2032585,0.13688695,2.7918746,-9.966712,
60869,0.0884822431758803,10.3033495,0.571799,9.445651,0.082124256,3.75858,-10.042464,
347374,0.104491304566713,9.792255,0.3500982,9.267108,0.08899378,3.7959044,-10.296047,
2783085,0.1089740220570807,9.979821,0.483463,9.254627,0.08571123,3.8071017,-10.26782,
9727958,0.0685529787890117,9.585529,0.63530654,8.632569,0.1281203,2.6351116,-9.784767,
26101772,0.1037933307247353,9.6810055,0.3418826,9.168181,0.06525471,2.9635673,-10.011961,
2799028,0.0556342447092128,9.357304,0.44537747,8.689238,0.19302103,1.1850537,-9.407913,
733485,0.0772675275511135,9.654593,0.75406307,8.523499,0.11103832,3.3666723,-10.004369,
9763151,0.1233088758985185,9.255478,0.5083168,8.493003,0.07147596,3.6428738,-10.185534,
62188,0.0614821388241609,9.756638,0.68594724,8.727716,0.12973207,2.2730637,-9.783603,
158660,0.2296051004892473,10.661211,0.3610566,10.119626,0.15599394,6.5840464,-10.506612,
2805781,0.0775894323860668,9.454121,0.64815867,8.481883,0.11449716,1.9371431,-9.572717,
32505842,0.0818482986707324,9.136385,0.7269673,8.045934,0.124820836,2.743353,-10.058256,
16372540,0.0792715840620384,9.74153,0.7219682,8.658578,0.09362795,2.4708838,-9.794641,
352434,0.1336061213793614,10.163251,0.6001606,9.26301,0.062419422,2.911313,-9.80863,
76292,0.2743304314432688,9.480143,0.19898462,9.181665,0.030790739,6.1286874,-10.301644,
159573,0.1867227105611858,10.933965,0.7768062,9.768755,0.094599284,5.7778373,-10.27441,
5866580,0.1587309172036069,9.36423,0.49791405,8.617359,0.07594689,4.7775397,-10.18116,
2781634,0.094391768325166,9.462969,0.6360732,8.508859,0.11393788,3.9340053,-10.228898,
5526667,0.0905233523576119,9.276163,0.59598064,8.382193,0.12878484,3.2024446,-10.192283,
50596485,0.0636185226843539,9.083778,0.7678513,7.9320016,0.18831804,1.8400992,-9.535141,
1468082,0.1256848857790498,9.163396,0.25170594,8.785837,0.07302401,4.217672,-10.038123,
1678114,0.1042180745730368,10.142382,0.49580327,9.398677,0.11694648,4.904443,-10.870386,
3145819,0.1045969144894049,9.421649,0.5047041,8.664593,0.082361884,4.0534434,-9.887358,
7865135,0.1072696088026896,9.536641,0.49048096,8.80092,0.08143584,4.329645,-10.077337,
1469536,0.0950494169463696,10.034022,0.7219682,8.95107,0.080922164,3.4562511,-10.070533,
4085123,0.1099809096008124,9.468769,0.70203406,8.415718,0.109636866,4.1878123,-10.205761,
739066,0.0865965296962384,10.444633,0.5072877,9.683701,0.10529009,3.4674485,-10.030978,
4085729,0.0855372898232119,9.040634,0.46455345,8.343804,0.107608326,3.6204793,-11.652521,
9775765,0.0475969792648755,9.634904,0.74282813,8.520661,0.16621429,1.2186458,-9.461304,
12727885,0.0524417791472804,9.060443,0.9862938,7.581002,0.15403345,1.8214369,-9.812053,
1474878,0.2271776822389179,9.356372,0.3773401,8.790361,0.053014897,7.114055,-10.585103,
738533,0.0705708824916991,9.276724,0.45710003,8.591074,0.099141724,2.6164494,-10.00547,
728611,0.0879093387941483,9.373746,0.6852638,8.34585,0.13865283,2.6201818,-10.022076,
6105,0.1740729473846153,10.891267,0.8820556,9.568184,0.10644735,6.382494,-13.271664,
731341,0.0875462984793061,10.103426,0.53762853,9.296983,0.086049326,3.403997,-10.320575,
731624,0.0961279386627553,10.217369,0.5513418,9.390356,0.08764308,4.008654,-10.309808,
7383619,0.0522479541344432,9.512578,-0.11050937,9.678342,0.047904305,2.4671514,,
5531139,0.0875198599462984,10.173606,0.52047986,9.392886,0.086678214,3.16512,-9.979667,
356096,0.1635116846088525,9.085087,0.8495698,7.810732,0.22785959,6.277985,,
