subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_H_mass,elem_He_mass,elem_C_mass,elem_N_mass,elem_O_mass,elem_Ne_mass,elem_Mg_mass,elem_Si_mass,elem_Fe_mass,elem_Sr_mass,elem_Ba_mass,elem_Eu_mass
3005000,74545237,23.22624826465,13.90532095691875,0.22889860087038016,4.07389860087038,3.8449999999999998,4.86389860087038,4.635,6.89389860087038,6.665,8.53389860087038,8.305,13.453898600870382,13.225000000000001,13.453898600870382,13.225000000000001,0.3057876523905539,0.3057876523905539,0.10787486515641856,0.09015982358524925,0.16794078037740723,10.1563211776,3.5665281024,0.0231440352,0.0085502496,0.09175392,0.0245475776,0.0102124864,0.0101865752,0.0125104608,5.03708349609375e-07,1.63227783203125e-07,5.636066818237305e-09
785393,74562869,8.8983230570375,5.37031466038125,0.2920108430191526,5.437010843019152,5.145,6.997010843019153,6.705,8.747010843019153,8.455,10.717010843019153,10.425,13.487010843019153,13.195,13.487010843019153,13.195,0.15598744911292453,0.15598744911292453,0.07457121551081282,0.09233908149282957,0.10763258203885566,3.887190016,1.3953166336,0.0111883448,0.0043252808,0.04291352,0.011521052,0.0048691424,0.0050435876,0.0069996448,2.789795166015625e-07,8.00451416015625e-08,2.8955219268798827e-09
2946016,74562871,9.245638848275,5.5911423972625,0.2938408059979345,5.858840805997935,5.565,8.078840805997935,7.785,8.998840805997936,8.705000000000002,9.758840805997934,9.465,13.528840805997934,13.235,13.528840805997934,13.235,0.15486329984564984,0.15486329984564984,0.06422607578676942,0.08943340428272264,0.10284092663838063,4.065271808,1.4437255168,0.0106383928,0.004005668,0.0399631712,0.010855664,0.0044819412,0.0047049416,0.0065995884,2.750335693359375e-07,7.997161254882812e-08,2.7685779571533204e-09
7064,74586845,6.5489194409125,3.8798721827125,0.2500245825002576,2.145024582500258,1.8950000000000005,3.2650245825002577,3.015,4.015024582500257,3.7649999999999997,4.195024582500258,3.9450000000000003,6.015024582500258,5.765000000000001,6.015024582500258,5.765000000000001,0.7551108175238084,0.7551108175238084,0.16583747927031509,0.6320686232702025,0.5176723066881087,2.84893184,0.9871785984,0.0053879428,0.0019587046,0.022481072,0.0059397584,0.0024622334,0.0024142984,0.0028089864,1.132080322265625e-07,3.86049072265625e-08,1.2935285568237304e-09
70847,74586850,42.4603371624125,25.33053075134375,0.21469742031622197,3.519697420316222,3.305,4.4796974203162225,4.265000000000001,5.869697420316222,5.655,7.559697420316223,7.345000000000001,13.289697420316223,13.075000000000001,13.289697420316223,13.075000000000001,0.40308262898965785,0.40308262898965785,0.11723329425556857,0.10105611312315048,0.2071240121227923,18.53206528,6.4793788416,0.0398165376,0.0144936256,0.162923072,0.0434686656,0.0180239424,0.017628232,0.0203553792,8.2514521484375e-07,2.7091083984375e-07,9.359503173828126e-09
171805,74586862,8.0991392138,4.8221540136375,0.2462486773824537,2.801248677382454,2.555,4.981248677382454,4.735,6.451248677382454,6.205,7.221248677382453,6.975,8.391248677382453,8.145,8.391248677382453,8.145,0.5661804628863163,0.5661804628863163,0.10559662090813093,0.45918082926883685,0.3769859710210947,3.5344183296,1.2305978368,0.0072017272,0.0026564736,0.0287289536,0.0076858352,0.0031826984,0.0031967914,0.0040111788,1.571955322265625e-07,5.210008544921875e-08,1.7744672775268556e-09
378932,74586902,3.627670525775,2.15481611701875,0.28674570332093197,3.3517457033209324,3.0650000000000004,3.891745703320932,3.605,4.331745703320932,4.045,4.821745703320932,4.535,5.341745703320932,5.055,5.341745703320932,5.055,0.47326784645312225,0.47326784645312225,0.13869625520110956,0.6836443937496016,0.43186949846794453,1.5703189504,0.5544574464,0.0038350656,0.0014108748,0.0152288064,0.0040752128,0.0016953766,0.0016548912,0.0019081948,8.1695849609375e-08,2.6743667602539062e-08,8.869377136230469e-10
1578325,74587021,3.0902092456125,1.8473133905125,0.36585232625055397,4.950852326250554,4.585,5.6308523262505545,5.265000000000001,6.0108523262505535,5.645,6.210852326250555,5.845000000000001,6.590852326250554,6.225,6.590852326250554,6.225,0.13644627770713522,0.13644627770713522,0.09496676163342829,0.5986533353539722,0.27668879156484527,1.3467814912,0.475010816,0.0032756312,0.0011905575,0.012893552,0.0034635104,0.0014307754,0.0014127198,0.0016420411,6.894423828125e-08,2.2860696411132813e-08,7.636748313903808e-10
4241717,74587294,2.161438464175,1.29073093573125,0.45552475990628416,4.410524759906284,3.955,5.660524759906284,5.205,6.990524759906284,6.535,7.700524759906284,7.245,9.410524759906284,8.955,9.410524759906284,8.955,0.2862695009275558,0.2862695009275558,0.09606147934678194,0.40034086576417033,0.26089061534616936,0.9207554048,0.3422501888,0.0034438244,0.0014678022,0.0133958616,0.0035472024,0.0015645949,0.0016110523,0.0023494662,8.846301879882812e-08,2.5471995544433593e-08,9.10832691192627e-10
5749142,74587409,9.327306268675,5.5569526301,0.26012153096050383,3.625121530960504,3.365,4.475121530960504,4.215,5.435121530960504,5.175,6.285121530960504,6.025,9.305121530960506,9.045000000000002,9.305121530960506,9.045000000000002,0.3740325731761988,0.3740325731761988,0.11862396204033215,0.3938030920414295,0.29548654241932015,4.0667820032,1.4213218304,0.0087517984,0.0032161304,0.03464984,0.009276396,0.0038243072,0.0038315448,0.0047219488,1.996982177734375e-07,6.433197021484375e-08,2.1422550201416015e-09
371486,74632186,3.663738728675,2.1841799626125,0.31708562461574274,4.152085624615743,3.835,4.812085624615743,4.495,5.482085624615743,5.165,6.222085624615743,5.905,8.072085624615742,7.754999999999999,8.072085624615742,7.754999999999999,0.27253486321842846,0.27253486321842846,0.11123470522803114,0.48751118206738003,0.2904269168379465,1.5943304192,0.56075136,0.0037461844,0.0013768087,0.0145571456,0.0038920516,0.0016285385,0.0016280151,0.0020077462,8.629385986328125e-08,2.7356900024414063e-08,8.95123291015625e-10
16822200,74733866,16.9523551443375,10.22028182943125,0.3141674414627129,5.479167441462713,5.165,6.839167441462713,6.525,9.129167441462712,8.815,10.509167441462713,10.195,12.459167441462714,12.145000000000001,12.459167441462714,12.145000000000001,0.15496719847227255,0.15496719847227255,0.07662835249042145,0.16861310825813794,0.13340288640694398,7.4406699008,2.6336274432,0.0187267616,0.006961124,0.0723239936,0.0194742464,0.0080896416,0.0082422968,0.0107437312,4.4729169921875e-07,1.372632080078125e-07,4.6567638397216795e-09
21399143,74770394,6.3837375644125,3.83049434144375,0.35111998943676603,5.646119989436766,5.295,6.816119989436766,6.465,7.396119989436766,7.045,7.696119989436767,7.345000000000001,11.176119989436767,10.825000000000001,11.176119989436767,10.825000000000001,0.17974668938017366,0.17974668938017366,0.07733952049497293,0.26450045619166856,0.17386222202227172,2.7844716544,0.9892406272,0.0073470152,0.0027287594,0.0281867712,0.0075867424,0.003163902,0.0031974998,0.0040358736,1.7664332275390626e-07,5.3507733154296874e-08,1.7777868270874024e-09
377481,74781307,14.890465735125,8.85663503349375,0.3258938317746676,3.390893831774668,3.0650000000000004,4.150893831774668,3.825,4.9108938317746675,4.585,5.670893831774668,5.345000000000001,9.740893831774667,9.415,9.740893831774667,9.415,0.46104099689228895,0.46104099689228895,0.13071895424836602,0.36692557784794,0.31956184299619833,6.4703553536,2.270804992,0.0147148528,0.0053922676,0.0584038464,0.0156883008,0.0064761452,0.0063796712,0.0074870456,3.21964013671875e-07,1.0386116943359375e-07,3.4619754791259768e-09
1572727,74812891,8.4377963545125,5.0327398694125,0.30381894233443774,4.278818942334438,3.9750000000000005,5.198818942334437,4.895,5.668818942334438,5.365,6.538818942334438,6.235,8.008818942334438,7.705,8.008818942334438,7.705,0.28372817791989924,0.28372817791989924,0.10214504596527069,0.49114327858001366,0.2923388341550612,3.6578340864,1.299748352,0.0095913952,0.0035754284,0.037600816,0.0100328216,0.0042231652,0.0042131056,0.0052320292,2.22360595703125e-07,6.983635864257813e-08,2.300912094116211e-09
384709,74826392,19.859811067375,12.030015016325,0.27985873413862805,3.794858734138628,3.515,6.724858734138628,6.445,10.464858734138627,10.184999999999999,12.174858734138628,11.895,13.694858734138627,13.415,13.694858734138627,13.415,0.44590254395710593,0.44590254395710593,0.07757951900698215,0.07635785683724122,0.19994663993377645,8.7929716736,3.0819241984,0.0190853904,0.0072888848,0.0772532096,0.020456048,0.008666936,0.0088915888,0.01199726,4.3247099609375e-07,1.283184326171875e-07,5.095458984375e-09
72742,74894319,8.1323585514625,4.95642100571875,0.3094445795358425,6.024444579535842,5.715,7.194444579535842,6.885,10.934444579535842,10.625,12.344444579535843,12.035,13.694444579535844,13.385000000000002,13.694444579535844,13.385000000000002,0.16569378275201269,0.16569378275201269,0.07262164124909223,0.0785371147448213,0.10561751291530874,3.5910561792,1.286203904,0.010027836,0.0039404048,0.038427552,0.0103250752,0.0043608524,0.0045775624,0.0066037768,2.569725341796875e-07,7.24154541015625e-08,2.6920106887817384e-09
335229,74922978,10.7864601613125,6.5340033010125,0.27476751826623236,4.339767518266233,4.065,7.589767518266233,7.315,10.419767518266234,10.145000000000001,11.749767518266232,11.475,13.669767518266234,13.395000000000001,13.669767518266234,13.395000000000001,0.3874556375572767,0.3874556375572767,0.06835269993164729,0.07781069544229456,0.17787301097707284,4.7338115072,1.6956379136,0.0131745048,0.0052292696,0.0508724096,0.0136648608,0.0058159356,0.0060744532,0.0086121864,3.338387939453125e-07,8.950177612304687e-08,3.547272872924805e-09
1599279,74926921,11.958290336425,7.1848989600625,0.3228963393559692,5.227896339355969,4.905,6.997896339355969,6.675,7.737896339355969,7.415,8.62789633935597,8.305000000000001,12.87789633935597,12.555000000000001,12.87789633935597,12.555000000000001,0.1433247260441902,0.1433247260441902,0.0749063670411985,0.1388299168545413,0.11902033664664331,5.2170473472,1.8585260032,0.0140755904,0.005303802,0.0538852416,0.0145116816,0.0060619872,0.00619278,0.0081866872,3.51928857421875e-07,1.03412255859375e-07,3.4908065795898437e-09
73351,74934932,4.2047171589125,2.48569491199375,0.23169036737579063,1.4466903673757905,1.2149999999999999,1.8266903673757908,1.5950000000000002,4.186690367375791,3.955,4.846690367375791,4.615,8.136690367375792,7.905000000000001,8.136690367375792,7.905000000000001,0.8704922390033388,0.8704922390033388,0.3134796238244514,0.47661489252947864,0.5535289184524229,1.8285914112,0.6305089536,0.0031734282,0.0011260357,0.0138839888,0.0037085256,0.0015297125,0.0014627721,0.0015835017,5.572200927734375e-08,1.79845947265625e-08,7.316505432128907e-10
808326,74934949,34.0696516076625,20.438480778675,0.22474377368206433,3.9497437736820644,3.725,6.209743773682065,5.985,8.199743773682064,7.975,9.519743773682066,9.295000000000002,13.399743773682065,13.175,13.399743773682065,13.175,0.39921837238470587,0.39921837238470587,0.0835421888053467,0.09379192009788304,0.19218416042931186,15.0048391168,5.2035239936,0.0288876288,0.0106042112,0.1159724032,0.0307357056,0.0128168112,0.0129128784,0.0161577264,6.50290380859375e-07,2.104843017578125e-07,7.1721199035644534e-09
1623967,74983513,8.403155089175,5.03742945793125,0.3132313618041245,4.498231361804125,4.1850000000000005,5.818231361804124,5.505,6.908231361804125,6.595000000000001,7.108231361804124,6.795,13.508231361804125,13.195,13.508231361804125,13.195,0.23594137308218496,0.23594137308218496,0.09082652134423251,0.09233908149282957,0.1397023253064157,3.6717436928,1.2960473088,0.0090257424,0.0033298176,0.034471696,0.0093678712,0.0038447316,0.0039137712,0.0050294568,2.155513427734375e-07,6.581657104492188e-08,2.212980842590332e-09
1626675,75000148,21.6286366001375,13.04542213840625,0.3180255165723658,5.503025516572366,5.1850000000000005,6.913025516572366,6.595000000000001,9.113025516572367,8.795000000000002,10.593025516572364,10.274999999999999,12.903025516572367,12.585,12.903025516572367,12.585,0.2012930818422379,0.2012930818422379,0.0758150113722517,0.1366506589469611,0.1379195840538169,9.462493184,3.3795272704,0.0259910928,0.0099852464,0.09940992,0.0268301008,0.0112325328,0.0116560104,0.0161313872,6.68217822265625e-07,1.8820205078125e-07,6.728416442871094e-09
5836674,75087320,104.4504077468375,62.7829624145125,0.22269908265337257,2.7776990826533727,2.555,4.967699082653373,4.745,8.987699082653371,8.764999999999999,11.257699082653373,11.035,13.667699082653373,13.445,13.667699082653373,13.445,0.5656432001766297,0.5656432001766297,0.1053740779768177,0.0741785989296609,0.24839862569436946,46.1096452096,15.96547072,0.0852354048,0.0311119328,0.3670319104,0.096358656,0.0407819392,0.0394259616,0.043526192,1.46541201171875e-06,4.91669189453125e-07,1.9873895263671876e-08
4065473,75150548,26.363181352075,15.819118788325,0.27646113248688486,4.591461132486885,4.315,5.141461132486885,4.865,7.1214611324868855,6.845000000000001,9.081461132486886,8.805000000000001,13.571461132486885,13.295,13.571461132486885,13.295,0.2533045544221427,0.2533045544221427,0.10277492291880781,0.08507488846756213,0.14705145526950422,11.5304800256,4.0678858752,0.0275457824,0.0101949656,0.1122206976,0.0297816416,0.0126523648,0.0123464808,0.0144047824,5.00126416015625e-07,1.7298541259765625e-07,6.452681732177735e-09
61618,75157897,17.5820064557625,10.48270105035625,0.27476751826623236,3.5297675182662323,3.255,5.279767518266232,5.005,6.609767518266232,6.335,7.239767518266232,6.965,12.129767518266231,11.854999999999999,12.129767518266231,11.854999999999999,0.4653983334140821,0.4653983334140821,0.0999000999000999,0.1896792680314138,0.2516592337818652,7.6580446208,2.6877632512,0.0174226096,0.0064174516,0.0682205248,0.0184135344,0.0075781032,0.0076962144,0.0098974624,4.095057373046875e-07,1.26239990234375e-07,4.325225448608398e-09
