subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_H_mass,elem_He_mass,elem_C_mass,elem_N_mass,elem_O_mass,elem_Ne_mass,elem_Mg_mass,elem_Si_mass,elem_Fe_mass,elem_Sr_mass,elem_Ba_mass,elem_Eu_mass
454,73694074,17.45407199935,10.373438366975,0.2320430698055133,2.8570430698055134,2.625,3.657043069805513,3.425,5.087043069805514,4.855,5.667043069805514,5.4350000000000005,12.337043069805514,12.105,12.337043069805514,12.105,0.7004916723733763,0.7004916723733763,0.145985401459854,0.1715187854682449,0.3393319531004917,7.6053348352,2.644929536,0.0150059552,0.0054482988,0.0637088,0.0169603808,0.0070059856,0.0067049772,0.0075024224,2.96156640625e-07,1.0378048095703125e-07,3.503612518310547e-09
710,18135317,13.6829566963625,8.226847641925,0.2496389020798908,3.194638902079891,2.9450000000000003,6.384638902079891,6.135,9.154638902079892,8.905000000000001,10.57463890207989,10.325,13.584638902079892,13.335,13.584638902079892,13.335,0.5174954975818487,0.5174954975818487,0.0814995925020374,0.082169211257455,0.2270547671137804,5.9658440704,2.1319532544,0.0163137744,0.0064274556,0.0628515904,0.016916584,0.0071843304,0.0074970544,0.0105017704,4.083806396484375e-07,1.0750732421875e-07,4.322446823120117e-09
759,13048529,20.3785216817125,12.2149222058125,0.2356035405434191,3.150603540543419,2.915,5.51060354054342,5.275,7.100603540543419,6.865,10.09060354054342,9.855,13.61060354054342,13.375,13.61060354054342,13.375,0.5219442141640998,0.5219442141640998,0.0947867298578199,0.0792635340473481,0.2319981593564225,8.9454698496,3.1201378304,0.0183232064,0.0068360232,0.0743152192,0.0197903808,0.0082612992,0.0085288144,0.011804528,4.56725244140625e-07,1.3736575927734377e-07,5.034358978271484e-09
978,16479602,14.3733890079625,8.52326271345625,0.2432560920073054,2.5382560920073054,2.295,3.0482560920073056,2.805,4.208256092007305,3.965,4.878256092007305,4.635,8.128256092007305,7.885,8.128256092007305,7.885,0.8042655849732819,0.8042655849732819,0.17825311942959,0.4780677311345322,0.4868621451791347,6.2001041408,2.1976580096,0.015690504,0.0059004912,0.063374752,0.017032256,0.0071364672,0.0070493032,0.0083880016,3.43189697265625e-07,9.8507421875e-08,3.7160724639892573e-09
1368,7324136,12.0185959313875,7.1864511120875,0.2226990826533725,2.3876990826533726,2.165,5.077699082653373,4.855,7.737699082653373,7.515000000000001,9.657699082653371,9.435,13.457699082653374,13.235,13.457699082653374,13.235,0.563525095226586,0.563525095226586,0.1029866117404737,0.0894334042827225,0.2519817037499274,5.2550725632,1.8393065472,0.0111368656,0.004165442,0.046550304,0.0123141776,0.0051724392,0.0052109664,0.0067714968,2.221758056640625e-07,7.17911376953125e-08,2.9383005142211913e-09
1432,13743725,9.6762559413625,5.98079048399375,0.2388494833695045,7.873849483369504,7.635,11.333849483369503,11.095,11.773849483369505,11.535,12.043849483369506,11.805,12.883849483369506,12.645,12.883849483369506,12.645,0.2278682462293912,0.2278682462293912,0.0450653447498873,0.1322921431318005,0.135075244703693,4.3350962176,1.5511172096,0.0122505616,0.0046136476,0.0460188832,0.0125237832,0.0051987504,0.0054195764,0.0075313664,3.06307666015625e-07,8.874989624023439e-08,3.16839370727539e-09
1782,12196971,6.5466148838,3.8888503023875,0.3015064652719026,3.606506465271903,3.305,3.716506465271903,3.415,3.8965064652719024,3.595,4.246506465271903,3.945,5.026506465271902,4.725,5.026506465271902,4.725,0.2695909787884993,0.2695909787884993,0.1464128843338213,0.7076162307329843,0.3745400312851017,2.8108675072,1.0112871424,0.008294088,0.0030686418,0.0341819712,0.0091950096,0.0038774276,0.0036881156,0.0039743348,1.4934080810546876e-07,4.583755493164063e-08,1.815770149230957e-09
1874,12181028,18.2098317149875,10.77957034854375,0.2309854986733679,1.855985498673368,1.625,3.265985498673368,3.035,3.565985498673368,3.335,3.755985498673368,3.5250000000000004,9.095985498673368,8.865,9.095985498673368,8.865,0.7593118372831976,0.7593118372831976,0.1647446457990115,0.406878639486911,0.4436450408563734,7.9062016,2.745613312,0.0150260496,0.0056189172,0.0670211072,0.0176750512,0.0075085128,0.0070777384,0.0073620808,2.340599853515625e-07,7.366985473632812e-08,3.342913055419922e-09
3464,28173130,4.4475538738625,2.63977554641875,0.2226990826533725,2.9876990826533727,2.765,3.497699082653373,3.2750000000000004,3.9876990826533727,3.765,4.737699082653373,4.515000000000001,6.737699082653373,6.515000000000001,6.737699082653373,6.515000000000001,0.6568218542568267,0.6568218542568267,0.1526717557251908,0.5775871755806965,0.462360261854238,1.92492032,0.6787580928,0.004621364,0.0017168734,0.0180697648,0.0049018184,0.0020103038,0.0020034664,0.002463406,1.0335252685546877e-07,3.2277453613281256e-08,1.1070001602172851e-09
3979,25673074,13.226552487125,7.8264783088,0.248122213707072,1.653122213707072,1.405,2.503122213707072,2.255,3.143122213707072,2.895,5.313122213707072,5.065,7.463122213707072,7.215,7.463122213707072,7.215,0.9231124449509858,0.9231124449509858,0.2217294900221729,0.5267378244038243,0.557193253125661,5.7229225984,2.0018378752,0.0120894936,0.0044857568,0.0531533568,0.0140466624,0.005926256,0.0056364848,0.0059160648,1.940822509765625e-07,6.190173950195314e-08,2.744002151489258e-09
